date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_passing_accuracy,away_passing_accuracy,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_passing_accuracy_pct,away_passing_accuracy_pct,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner
2025-09-16,PSV Eindhoven,Union SG,1–3,Philips Stadion,Anthony Taylor,62%,38%,470 of 588,251 of 358,3 of 10,6 of 17,4 of 6,2 of 3,79.9,70.1,30.0,35.3,66.7,66.7,Away Win,Union SG
2025-09-16,Athletic Club,Arsenal,0–2,San Mamés,Donatas Rumšas,39%,61%,246 of 338,435 of 532,2 of 11,6 of 11,4 of 6,2 of 2,72.8,81.8,18.2,54.5,66.7,100.0,Away Win,Arsenal
2025-09-16,Tottenham,Villarreal,1–0,Tottenham Hotspur Stadium,Rade Obrenović,58%,42%,436 of 529,295 of 380,1 of 9,0 of 10,0 of 0,1 of 1,82.4,77.6,11.1,0.0,,100.0,Home Win,Tottenham
2025-09-16,Benfica,Qarabağ,2–3,Estádio do Sport Lisboa e Benfica,Erik Lambrechts,53%,47%,431 of 517,372 of 462,3 of 14,5 of 10,2 of 5,1 of 3,83.4,80.5,21.4,50.0,40.0,33.3,Away Win,Qarabağ
2025-09-16,Juventus,Dortmund,4–4,Allianz Stadium,François Letexier,52%,48%,459 of 532,410 of 501,7 of 19,4 of 9,1 of 4,3 of 7,86.3,81.8,36.8,44.4,25.0,42.9,Draw,Draw
2025-09-16,Real Madrid,Marseille,2–1,Estadio Santiago Bernabéu,Irfan Peljto,44%,56%,364 of 431,478 of 559,13 of 26,5 of 15,4 of 5,13 of 13,84.5,85.5,50.0,33.3,80.0,100.0,Home Win,Real Madrid
2025-09-17,Slavia Prague,Bodø/Glimt,2–2,Fortuna Arena,Marian Barbu,47%,53%,283 of 385,330 of 429,10 of 26,8 of 10,6 of 8,8 of 10,73.5,76.9,38.5,80.0,75.0,80.0,Draw,Draw
2025-09-17,Olympiacos,Pafos FC,0–0,Stadio Georgios Karaiskáki,István Kovács,70%,30%,484 of 613,184 of 268,3 of 18,1 of 6,1 of 1,3 of 3,79.0,68.7,16.7,16.7,100.0,100.0,Draw,Draw
2025-09-17,Liverpool,Atlético Madrid,3–2,Anfield,Maurizio Mariani,56%,44%,561 of 643,408 of 503,6 of 20,4 of 10,2 of 4,3 of 6,87.2,81.1,30.0,40.0,50.0,50.0,Home Win,Liverpool
2025-09-17,Ajax,Inter,0–2,Johan Cruijff Arena,Michael Oliver,56%,44%,478 of 565,363 of 449,2 of 7,4 of 14,2 of 4,2 of 2,84.6,80.8,28.6,28.6,50.0,100.0,Away Win,Inter
2025-09-17,Bayern Munich,Chelsea,3–1,Allianz Arena,Jose Maria Sánchez,56%,44%,522 of 592,406 of 469,4 of 15,3 of 9,2 of 3,3 of 4,88.2,86.6,26.7,33.3,66.7,75.0,Home Win,Bayern Munich
2025-09-17,Paris S-G,Atalanta,4–0,Parc des Princes,Sandro Schärer,67%,33%,671 of 738,300 of 370,12 of 21,2 of 7,2 of 2,8 of 12,90.9,81.1,57.1,28.6,100.0,66.7,Home Win,Paris S-G
2025-09-18,Club Brugge,Monaco,4–1,Jan Breydelstadion,Simone Sozza,49%,51%,405 of 488,439 of 516,10 of 26,4 of 12,3 of 4,6 of 10,83.0,85.1,38.5,33.3,75.0,60.0,Home Win,Club Brugge
2025-09-18,FC Copenhagen,Leverkusen,2–2,Parken,Əliyar Ağayev,37%,63%,307 of 398,597 of 684,7 of 12,4 of 15,3 of 4,5 of 7,77.1,87.3,58.3,26.7,75.0,71.4,Draw,Draw
2025-09-18,Manchester City,Napoli,2–0,Etihad Stadium,Felix Zwayer,73%,27%,768 of 847,237 of 306,8 of 23,1 of 1,1 of 1,6 of 8,90.7,77.5,34.8,100.0,100.0,75.0,Home Win,Manchester City
2025-09-18,Sporting CP,Qaırat Almaty,4–1,Estádio José Alvalade,Damian Sylwestrzak,64%,36%,508 of 601,251 of 339,7 of 20,4 of 9,3 of 4,3 of 7,84.5,74.0,35.0,44.4,75.0,42.9,Home Win,Sporting CP
2025-09-18,Newcastle Utd,Barcelona,1–2,St James' Park,Glenn Nyberg,37%,63%,233 of 334,490 of 578,6 of 10,5 of 19,3 of 5,5 of 6,69.8,84.8,60.0,26.3,60.0,83.3,Away Win,Barcelona
2025-09-18,Eint Frankfurt,Galatasaray,5–1,Deutsche Bank Park,Marco Guida,39%,61%,278 of 375,500 of 591,5 of 11,5 of 14,4 of 5,2 of 5,74.1,84.6,45.5,35.7,80.0,40.0,Home Win,Eint Frankfurt
,,,,,,,,,,,,,,,,,,,,,
2025-09-30,Atalanta,Club Brugge,2–1,New Balance Arena,Espen Eskås,49%,51%,450 of 530,483 of 562,1 of 19,2 of 7,1 of 2,0 of 1,84.9,85.9,5.3,28.6,50.0,0.0,Home Win,Atalanta
2025-09-30,Chelsea,Benfica,1–0,Stamford Bridge,Daniel Siebert,56%,44%,475 of 552,356 of 439,3 of 8,3 of 9,3 of 3,3 of 3,86.1,81.1,37.5,33.3,100.0,100.0,Home Win,Chelsea
2025-09-30,Atlético Madrid,Eint Frankfurt,5–1,Riyadh Air Metropolitan Stadium,Slavko Vinčič,51%,49%,559 of 624,499 of 588,11 of 17,2 of 6,1 of 2,7 of 11,89.6,84.9,64.7,33.3,50.0,63.6,Home Win,Atlético Madrid
2025-09-30,Inter,Slavia Prague,3–0,Stadio Giuseppe Meazza,Chris Kavanagh,57%,43%,518 of 589,368 of 442,5 of 21,1 of 3,1 of 1,2 of 5,87.9,83.3,23.8,33.3,100.0,40.0,Home Win,Inter
2025-09-30,Bodø/Glimt,Tottenham,2–2,Aspmyra Stadion,Ivan Kružliak,52%,48%,464 of 541,417 of 500,4 of 17,3 of 8,2 of 3,2 of 4,85.8,83.4,23.5,37.5,66.7,50.0,Draw,Draw
2025-09-30,Marseille,Ajax,4–0,Orange Vélodrome,Anthony Taylor,48%,52%,433 of 504,476 of 551,6 of 9,2 of 13,2 of 2,2 of 6,85.9,86.4,66.7,15.4,100.0,33.3,Home Win,Marseille
2025-09-30,Qaırat Almaty,Real Madrid,0–5,Ortalıq Stadion,Marco Guida,33%,67%,248 of 327,568 of 655,4 of 11,11 of 19,7 of 11,4 of 4,75.8,86.7,36.4,57.9,63.6,100.0,Away Win,Real Madrid
2025-09-30,Galatasaray,Liverpool,1–0,RAMS Park,Clément Turpin,34%,66%,195 of 295,491 of 580,3 of 8,3 of 16,3 of 3,3 of 3,66.1,84.7,37.5,18.8,100.0,100.0,Home Win,Galatasaray
2025-09-30,Pafos FC,Bayern Munich,1–5,Alphamega Stadium,Manfredas Lukjančukas,34%,66%,294 of 387,658 of 748,2 of 6,15 of 26,10 of 15,1 of 2,76.0,88.0,33.3,57.7,66.7,50.0,Away Win,Bayern Munich
2025-10-01,Union SG,Newcastle Utd,0–4,Lotto Park,Urs Schnyder,43%,57%,335 of 420,462 of 552,6 of 17,4 of 11,2 of 4,6 of 6,79.8,83.7,35.3,36.4,50.0,100.0,Away Win,Newcastle Utd
2025-10-01,Arsenal,Olympiacos,2–0,Emirates Stadium,François Letexier,61%,39%,439 of 544,245 of 350,4 of 16,3 of 10,3 of 3,2 of 4,80.7,70.0,25.0,30.0,100.0,50.0,Home Win,Arsenal
2025-10-01,Qarabağ,FC Copenhagen,2–0,Tofiq Bəhramov adına Respublika stadionu,Serdar Gözübüyük,49%,51%,290 of 406,308 of 420,6 of 10,4 of 12,4 of 4,4 of 6,71.4,73.3,60.0,33.3,100.0,66.7,Home Win,Qarabağ
2025-10-01,Barcelona,Paris S-G,1–2,Estadi Olímpic Lluís Companys,Michael Oliver,47%,53%,387 of 449,435 of 508,1 of 12,7 of 16,5 of 7,0 of 1,86.2,85.6,8.3,43.8,71.4,0.0,Away Win,Paris S-G
2025-10-01,Leverkusen,PSV Eindhoven,1–1,BayArena,Glenn Nyberg,47%,53%,462 of 530,522 of 607,4 of 14,1 of 6,0 of 1,3 of 4,87.2,86.0,28.6,16.7,0.0,75.0,Draw,Draw
2025-10-01,Napoli,Sporting CP,2–1,Stadio Diego Armando Maradona,Danny Makkelie,51%,49%,477 of 541,463 of 520,3 of 12,3 of 7,3 of 3,1 of 3,88.2,89.0,25.0,42.9,100.0,33.3,Home Win,Napoli
2025-10-01,Dortmund,Athletic Club,4–1,Signal Iduna Park,Szymon Marciniak,52%,48%,483 of 571,428 of 519,8 of 13,3 of 6,2 of 3,4 of 8,84.6,82.5,61.5,50.0,66.7,50.0,Home Win,Dortmund
2025-10-01,Monaco,Manchester City,2–2,Stade Louis II,Jesús Gil,29%,71%,259 of 329,753 of 813,2 of 7,6 of 18,4 of 6,1 of 2,78.7,92.6,28.6,33.3,66.7,50.0,Draw,Draw
2025-10-01,Villarreal,Juventus,2–2,Estadio de la Cerámica,István Kovács,46%,54%,326 of 418,411 of 495,6 of 17,4 of 13,2 of 4,4 of 6,78.0,83.0,35.3,30.8,50.0,66.7,Draw,Draw
,,,,,,,,,,,,,,,,,,,,,
2025-10-21,Barcelona,Olympiacos,6–1,Estadi Olímpic Lluís Companys,Urs Schnyder,72%,28%,622 of 698,183 of 278,6 of 13,1 of 4,1 of 1,1 of 6,89.1,65.8,46.2,25.0,100.0,16.7,Home Win,Barcelona
2025-10-21,Newcastle Utd,Benfica,3–0,St James' Park,Szymon Marciniak,52%,48%,379 of 461,337 of 426,10 of 19,2 of 7,2 of 2,7 of 10,82.2,79.1,52.6,28.6,100.0,70.0,Home Win,Newcastle Utd
2025-10-21,Arsenal,Atlético Madrid,4–0,Emirates Stadium,Davide Massa,51%,49%,399 of 460,356 of 434,8 of 19,1 of 11,1 of 1,4 of 8,86.7,82.0,42.1,9.1,100.0,50.0,Home Win,Arsenal
2025-10-21,Leverkusen,Paris S-G,2–7,BayArena,Jesús Gil,30%,70%,283 of 335,745 of 796,2 of 4,8 of 24,1 of 8,1 of 2,84.5,93.6,50.0,33.3,12.5,50.0,Away Win,Paris S-G
2025-10-21,PSV Eindhoven,Napoli,6–2,Philips Stadion,Daniel Siebert,59%,41%,469 of 546,305 of 384,8 of 19,2 of 10,0 of 2,3 of 8,85.9,79.4,42.1,20.0,0.0,37.5,Home Win,PSV Eindhoven
2025-10-21,Villarreal,Manchester City,0–2,Estadio de la Cerámica,Serdar Gözübüyük,34%,66%,301 of 366,639 of 697,2 of 11,7 of 10,5 of 7,2 of 2,82.2,91.7,18.2,70.0,71.4,100.0,Away Win,Manchester City
2025-10-21,Union SG,Inter,0–4,Lotto Park,Glenn Nyberg,31%,69%,252 of 321,647 of 719,5 of 15,6 of 20,3 of 6,5 of 5,78.5,90.0,33.3,30.0,50.0,100.0,Away Win,Inter
2025-10-21,FC Copenhagen,Dortmund,2–4,Parken,Danny Makkelie,36%,64%,286 of 371,556 of 667,4 of 11,4 of 8,1 of 4,3 of 4,77.1,83.4,36.4,50.0,25.0,75.0,Away Win,Dortmund
2025-10-21,Qaırat Almaty,Pafos FC,0–0,Ortalıq Stadion,Chris Kavanagh,68%,32%,501 of 610,183 of 287,2 of 22,5 of 9,5 of 5,2 of 2,82.1,63.8,9.1,55.6,100.0,100.0,Draw,Draw
2025-10-22,Athletic Club,Qarabağ,3–1,San Mamés,Igor Pajač,60%,40%,444 of 538,266 of 366,5 of 21,3 of 9,2 of 3,2 of 5,82.5,72.7,23.8,33.3,66.7,40.0,Home Win,Athletic Club
2025-10-22,Galatasaray,Bodø/Glimt,3–1,RAMS Park,Michael Oliver,39%,61%,325 of 399,540 of 633,11 of 23,2 of 8,1 of 2,8 of 11,81.5,85.3,47.8,25.0,50.0,72.7,Home Win,Galatasaray
2025-10-22,Sporting CP,Marseille,2–1,Estádio José Alvalade,Rade Obrenović,53%,47%,418 of 507,376 of 454,7 of 14,3 of 10,2 of 3,5 of 7,82.4,82.8,50.0,30.0,66.7,71.4,Home Win,Sporting CP
2025-10-22,Chelsea,Ajax,5–1,Stamford Bridge,Felix Zwayer,65%,35%,570 of 632,262 of 341,8 of 20,0 of 1,0 of 0,5 of 8,90.2,76.8,40.0,0.0,,62.5,Home Win,Chelsea
2025-10-22,Bayern Munich,Club Brugge,4–0,Allianz Arena,Donatas Rumšas,63%,37%,686 of 756,385 of 441,11 of 26,2 of 5,2 of 2,7 of 11,90.7,87.3,42.3,40.0,100.0,63.6,Home Win,Bayern Munich
2025-10-22,Atalanta,Slavia Prague,0–0,New Balance Arena,Ricardo de Burgos,56%,44%,334 of 463,241 of 360,5 of 22,4 of 16,4 of 4,5 of 5,72.1,66.9,22.7,25.0,100.0,100.0,Draw,Draw
2025-10-22,Real Madrid,Juventus,1–0,Estadio Santiago Bernabéu,Slavko Vinčič,65%,35%,579 of 651,275 of 349,9 of 28,4 of 13,4 of 4,8 of 9,88.9,78.8,32.1,30.8,100.0,88.9,Home Win,Real Madrid
2025-10-22,Monaco,Tottenham,0–0,Stade Louis II,Marco Guida,56%,44%,409 of 495,307 of 392,8 of 23,2 of 11,2 of 2,8 of 8,82.6,78.3,34.8,18.2,100.0,100.0,Draw,Draw
2025-10-22,Eint Frankfurt,Liverpool,1–5,Deutsche Bank Park,François Letexier,35%,65%,320 of 399,667 of 744,1 of 4,14 of 18,9 of 14,0 of 1,80.2,89.7,25.0,77.8,64.3,0.0,Away Win,Liverpool
,,,,,,,,,,,,,,,,,,,,,
2025-11-04,Slavia Prague,Arsenal,0–3,Fortuna Arena,Əliyar Ağayev,43%,57%,201 of 295,301 of 385,1 of 9,7 of 13,5 of 7,1 of 1,68.1,78.2,11.1,53.8,71.4,100.0,Away Win,Arsenal
2025-11-04,Napoli,Eint Frankfurt,0–0,Stadio Diego Armando Maradona,João Pinheiro,64%,36%,632 of 722,320 of 409,2 of 18,3 of 7,3 of 3,2 of 2,87.5,78.2,11.1,42.9,100.0,100.0,Draw,Draw
2025-11-04,Tottenham,FC Copenhagen,4–0,Tottenham Hotspur Stadium,Erik Lambrechts,61%,39%,484 of 556,287 of 358,6 of 13,4 of 12,4 of 4,2 of 6,87.1,80.2,46.2,33.3,100.0,33.3,Home Win,Tottenham
2025-11-04,Liverpool,Real Madrid,1–0,Anfield,István Kovács,40%,60%,281 of 369,477 of 555,9 of 17,2 of 8,2 of 2,8 of 9,76.2,85.9,52.9,25.0,100.0,88.9,Home Win,Liverpool
2025-11-04,Juventus,Sporting CP,1–1,Allianz Stadium,Daniel Siebert,49%,51%,449 of 535,479 of 553,9 of 18,1 of 4,0 of 1,8 of 9,83.9,86.6,50.0,25.0,0.0,88.9,Draw,Draw
2025-11-04,Atlético Madrid,Union SG,3–1,Riyadh Air Metropolitan Stadium,Espen Eskås,66%,34%,598 of 689,276 of 357,6 of 14,3 of 8,2 of 3,3 of 6,86.8,77.3,42.9,37.5,66.7,50.0,Home Win,Atlético Madrid
